date,fund_id,family,method,solver_success,attempts,status_code,message,iterations,objective_value,sum_residual,lower_bound_violation,upper_bound_violation,covariance_repair,minimum_eigenvalue,retry_used,near_identical_with,near_identical_warning,near_identical_explanation
2021-04-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,10,-3.874309319171874,6.661338147750939e-16,0.0,0.0,0.0,0.12798993145229284,False,,False,
2021-04-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,14,1.2880239843977577e-13,0.0,0.0,0.0,0.0,0.12798993145229284,False,,False,
2021-04-01,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-04-01,combined_minimum_variance,Combined,Minimum Variance,True,1,0,Optimization terminated successfully,32,0.021030925899042766,2.220446049250313e-16,0.0,0.0,0.0,0.008177958453067737,False,,False,
2021-04-01,combined_maximum_sharpe,Combined,Maximum Sharpe,True,1,0,Optimization terminated successfully,28,-4.390845989213807,6.004086117172847e-13,0.0,0.0,0.0,0.008177958453067737,False,,False,
2021-04-01,combined_risk_parity,Combined,Risk Parity,True,1,0,Optimization terminated successfully,25,3.2811694436629275e-13,0.0,0.0,0.0,0.0,0.008177958453067737,False,,False,
2021-05-01,crypto_equal_weight,Crypto,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-05-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,11,0.5739552773381374,0.0,0.0,0.0,0.0,0.13240618869477563,False,,False,
2021-05-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,8,-3.756705153895386,0.0,0.0,0.0,0.0,0.13240618869477563,False,,False,
2021-05-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,17,4.34883782218986e-14,0.0,0.0,0.0,0.0,0.13240618869477563,False,,False,
2021-05-03,equity_equal_weight,Equity,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-05-03,equity_minimum_variance,Equity,Minimum Variance,True,1,0,Optimization terminated successfully,44,0.014193517041897218,2.220446049250313e-16,0.0,0.0,0.0,0.007553616806945077,False,,False,
2021-05-03,equity_maximum_sharpe,Equity,Maximum Sharpe,True,1,0,Optimization terminated successfully,20,-3.6495167628566656,1.7763568394002505e-14,0.0,0.0,0.0,0.007553616806945077,False,,False,
2021-05-03,equity_risk_parity,Equity,Risk Parity,True,1,0,Optimization terminated successfully,20,2.0357865467004674e-13,0.0,0.0,0.0,0.0,0.007553616806945077,False,,False,
2021-05-03,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-05-03,combined_minimum_variance,Combined,Minimum Variance,True,1,0,Optimization terminated successfully,43,0.014063031798578391,1.1102230246251565e-16,0.0,0.0,0.0,0.007002131705999288,False,,False,
2021-05-03,combined_maximum_sharpe,Combined,Maximum Sharpe,True,1,0,Optimization terminated successfully,24,-4.590191235748058,6.801226248853709e-13,0.0,0.0,0.0,0.007002131705999288,False,,False,
2021-05-03,combined_risk_parity,Combined,Risk Parity,True,1,0,Optimization terminated successfully,28,1.0725801071476066e-13,1.1102230246251565e-16,0.0,0.0,0.0,0.007002131705999288,False,,False,
2021-06-01,equity_equal_weight,Equity,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-06-01,equity_minimum_variance,Equity,Minimum Variance,True,1,0,Optimization terminated successfully,46,0.013001110519747183,2.220446049250313e-16,0.0,0.0,0.0,0.0067117592845747425,False,,False,
2021-06-01,equity_maximum_sharpe,Equity,Maximum Sharpe,True,1,0,Optimization terminated successfully,15,-3.8155633640299516,1.2212453270876722e-14,0.0,0.0,0.0,0.0067117592845747425,False,,False,
2021-06-01,equity_risk_parity,Equity,Risk Parity,True,1,0,Optimization terminated successfully,19,2.053101441250751e-13,0.0,0.0,0.0,0.0,0.0067117592845747425,False,,False,
2021-06-01,crypto_equal_weight,Crypto,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-06-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,8,0.8203808813614482,0.0,0.0,0.0,0.0,0.14966011691818604,False,,False,
2021-06-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,6,-3.1320567470356746,3.708144902248023e-14,0.0,0.0,0.0,0.14966011691818604,False,,False,
2021-06-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,14,1.8802040304427044e-13,2.220446049250313e-16,0.0,0.0,0.0,0.14966011691818604,False,,False,
2021-06-01,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-06-01,combined_minimum_variance,Combined,Minimum Variance,True,1,0,Optimization terminated successfully,45,0.012979771095032382,0.0,0.0,0.0,0.0,0.006325682226190534,False,,False,
2021-06-01,combined_maximum_sharpe,Combined,Maximum Sharpe,True,1,0,Optimization terminated successfully,32,-4.18197798077432,1.0649259252204502e-12,0.0,0.0,0.0,0.006325682226190534,False,,False,
